margin_stocks,margin_feature_rows,sur_core_signals,enriched_rows,missing_margin_rows,selected_signals,trades,stock_id,entry_date,reason
2138,522458,450,375,75,180,1350,,,
,,,,,,,6203,2023-08-11,missing_margin_on_entry_date
,,,,,,,8936,2023-08-11,missing_margin_on_entry_date
,,,,,,,6732,2023-08-11,missing_margin_on_entry_date
,,,,,,,3362,2023-08-11,missing_margin_on_entry_date
,,,,,,,6538,2023-08-11,missing_margin_on_entry_date
,,,,,,,3078,2023-08-11,missing_margin_on_entry_date
,,,,,,,6703,2023-08-11,missing_margin_on_entry_date
,,,,,,,3217,2023-08-11,missing_margin_on_entry_date
,,,,,,,3689,2023-08-11,missing_margin_on_entry_date
,,,,,,,8255,2023-08-11,missing_margin_on_entry_date
,,,,,,,4116,2023-08-11,missing_margin_on_entry_date
,,,,,,,8086,2023-08-11,missing_margin_on_entry_date
,,,,,,,4129,2023-08-11,missing_margin_on_entry_date
,,,,,,,3213,2023-08-11,missing_margin_on_entry_date
,,,,,,,3088,2023-08-11,missing_margin_on_entry_date
,,,,,,,6538,2023-09-11,missing_margin_on_entry_date
,,,,,,,3217,2023-09-11,missing_margin_on_entry_date
,,,,,,,3227,2023-09-11,missing_margin_on_entry_date
,,,,,,,6732,2023-09-11,missing_margin_on_entry_date
,,,,,,,4933,2023-09-11,missing_margin_on_entry_date
,,,,,,,6170,2023-09-11,missing_margin_on_entry_date
,,,,,,,4979,2023-09-11,missing_margin_on_entry_date
,,,,,,,3689,2023-09-11,missing_margin_on_entry_date
,,,,,,,6173,2023-09-11,missing_margin_on_entry_date
,,,,,,,3483,2023-09-11,missing_margin_on_entry_date
,,,,,,,3362,2023-09-11,missing_margin_on_entry_date
,,,,,,,6275,2023-09-11,missing_margin_on_entry_date
,,,,,,,6703,2023-09-11,missing_margin_on_entry_date
,,,,,,,8255,2023-09-11,missing_margin_on_entry_date
,,,,,,,6122,2023-09-11,missing_margin_on_entry_date
,,,,,,,6150,2023-10-11,missing_margin_on_entry_date
,,,,,,,4933,2023-10-11,missing_margin_on_entry_date
,,,,,,,3227,2023-10-11,missing_margin_on_entry_date
,,,,,,,3362,2023-10-11,missing_margin_on_entry_date
,,,,,,,8086,2023-10-11,missing_margin_on_entry_date
,,,,,,,3680,2023-10-11,missing_margin_on_entry_date
,,,,,,,3324,2023-10-11,missing_margin_on_entry_date
,,,,,,,3317,2023-10-11,missing_margin_on_entry_date
,,,,,,,6732,2023-10-11,missing_margin_on_entry_date
,,,,,,,3483,2023-10-11,missing_margin_on_entry_date
,,,,,,,5340,2023-10-11,missing_margin_on_entry_date
,,,,,,,6703,2023-10-11,missing_margin_on_entry_date
,,,,,,,3693,2023-10-11,missing_margin_on_entry_date
,,,,,,,3217,2023-10-11,missing_margin_on_entry_date
,,,,,,,8936,2023-10-11,missing_margin_on_entry_date
,,,,,,,8086,2023-11-13,missing_margin_on_entry_date
,,,,,,,3680,2023-11-13,missing_margin_on_entry_date
,,,,,,,3260,2023-11-13,missing_margin_on_entry_date
,,,,,,,3227,2023-11-13,missing_margin_on_entry_date
,,,,,,,6679,2023-11-13,missing_margin_on_entry_date
,,,,,,,1785,2023-11-13,missing_margin_on_entry_date
,,,,,,,6150,2023-11-13,missing_margin_on_entry_date
,,,,,,,6538,2023-11-13,missing_margin_on_entry_date
,,,,,,,4953,2023-11-13,missing_margin_on_entry_date
,,,,,,,9950,2023-11-13,missing_margin_on_entry_date
,,,,,,,3324,2023-11-13,missing_margin_on_entry_date
,,,,,,,5340,2023-11-13,missing_margin_on_entry_date
,,,,,,,1584,2023-11-13,missing_margin_on_entry_date
,,,,,,,8936,2023-11-13,missing_margin_on_entry_date
,,,,,,,4105,2023-11-13,missing_margin_on_entry_date
,,,,,,,8086,2023-12-11,missing_margin_on_entry_date
,,,,,,,3260,2023-12-11,missing_margin_on_entry_date
,,,,,,,3227,2023-12-11,missing_margin_on_entry_date
,,,,,,,8299,2023-12-11,missing_margin_on_entry_date
,,,,,,,6138,2023-12-11,missing_margin_on_entry_date
,,,,,,,3402,2023-12-11,missing_margin_on_entry_date
,,,,,,,6111,2023-12-11,missing_margin_on_entry_date
,,,,,,,4953,2023-12-11,missing_margin_on_entry_date
,,,,,,,1785,2023-12-11,missing_margin_on_entry_date
,,,,,,,3131,2023-12-11,missing_margin_on_entry_date
,,,,,,,6274,2023-12-11,missing_margin_on_entry_date
,,,,,,,6290,2023-12-11,missing_margin_on_entry_date
,,,,,,,3306,2023-12-11,missing_margin_on_entry_date
,,,,,,,6284,2023-12-11,missing_margin_on_entry_date
,,,,,,,6538,2023-12-11,missing_margin_on_entry_date
