variant,delay_trading_days,holding_days,remove_top_n,kept_trades,total_return,sharpe_cash_counted,mdd
frr1_basic_deleveraging,1,20,0,42,1.593917198755348,1.2632526390951984,-0.18685019351385246
frr1_basic_deleveraging,1,20,5,37,0.40847990284975744,0.6987433125781506,-0.18685019351385246
frr1_basic_deleveraging,1,20,10,32,-0.2421165520717199,-0.436695485683401,-0.2785872664396637
frr1_basic_deleveraging,1,20,20,22,-0.546927026585093,-2.0416677622715143,-0.546927026585093
frr2_no_catch_falling_knife,1,20,0,36,0.9035685882717301,0.9373216484854697,-0.1796057693072025
frr2_no_catch_falling_knife,1,20,5,31,0.03362516797503057,0.18568003179664702,-0.1796057693072025
frr2_no_catch_falling_knife,1,20,10,26,-0.3914666247893541,-1.0349740801996843,-0.3914666247893541
frr2_no_catch_falling_knife,1,20,20,16,-0.564659433805857,-2.247205843749263,-0.564659433805857
frr3_volume_absorption,1,20,0,21,1.7908064520109304,1.3913932670534537,-0.16556655240670115
frr3_volume_absorption,1,20,5,16,0.3008227947973756,0.6066933772835041,-0.21849519105268722
frr3_volume_absorption,1,20,10,11,-0.2641035958099849,-0.8492141278618777,-0.2853387597719341
frr3_volume_absorption,1,20,20,1,-0.2107434944237918,-0.6928203230275508,-0.2107434944237918
frr5_conservative_liq100,1,20,0,29,0.42430196775075246,0.6019092560781055,-0.20403733026929982
frr5_conservative_liq100,1,20,5,24,-0.3222186445969928,-0.8499191029066218,-0.3222186445969928
frr5_conservative_liq100,1,20,10,19,-0.506588394061382,-2.048637019367263,-0.506588394061382
frr5_conservative_liq100,1,20,20,9,-0.556129537781596,-1.8876583391690407,-0.556129537781596
frr5_capacity_liq200,1,20,0,22,0.4700354607635735,0.6447686516978182,-0.20932336267160911
frr5_capacity_liq200,1,20,5,17,-0.30282148565476985,-0.8958815752797186,-0.30282148565476985
frr5_capacity_liq200,1,20,10,12,-0.4459386000142953,-1.95653992809297,-0.4459386000142953
frr5_capacity_liq200,1,20,20,2,-0.2893833071871956,-0.9962094762040543,-0.2893833071871956
