variant,subset,delay_trading_days,holding_days,total_return,sharpe_cash_counted,mdd
frr1_basic_deleveraging,all,1,20,1.593917198755348,1.2632526390951984,-0.18685019351385246
frr1_basic_deleveraging,electronics,1,20,0.9460271420630286,0.8792967316302108,-0.261174914633427
frr1_basic_deleveraging,non_electronics,1,20,0.7530712551963976,0.9874582546848164,-0.17619498599054617
frr1_basic_deleveraging,semiconductor,1,20,0.6496701197703287,0.7179312728730401,-0.2294174757281553
frr1_basic_deleveraging,no_semiconductor,1,20,0.7792083254233577,0.8635747911580925,-0.28395152262407575
frr2_no_catch_falling_knife,all,1,20,0.9035685882717301,0.9373216484854697,-0.1796057693072025
frr2_no_catch_falling_knife,electronics,1,20,0.38745157948734743,0.5397783093355711,-0.32125864880448274
frr2_no_catch_falling_knife,non_electronics,1,20,0.5902353690515627,0.8452425933490902,-0.17619498599054617
frr2_no_catch_falling_knife,semiconductor,1,20,0.9434449599222723,0.9320704749029448,-0.14232104121475053
frr2_no_catch_falling_knife,no_semiconductor,1,20,0.30669396233197044,0.5060874536995662,-0.2849729897815305
frr3_volume_absorption,all,1,20,1.7908064520109304,1.3913932670534537,-0.16556655240670115
frr3_volume_absorption,electronics,1,20,1.3671440293601025,1.1283065271131159,-0.2107434944237918
frr3_volume_absorption,non_electronics,1,20,0.5377934665838564,0.8012673946834911,-0.17619498599054617
frr3_volume_absorption,semiconductor,1,20,0.06895555275329346,0.25766811049970667,-0.14232104121475064
frr3_volume_absorption,no_semiconductor,1,20,1.5122119008900476,1.314662830225003,-0.17619498599054617
frr5_conservative_liq100,all,1,20,0.42430196775075246,0.6019092560781055,-0.20403733026929982
frr5_conservative_liq100,electronics,1,20,0.29001424373366214,0.455931944424867,-0.33814249532630136
frr5_conservative_liq100,non_electronics,1,20,0.2506334368936465,0.4929667292858312,-0.19539515070041746
frr5_conservative_liq100,semiconductor,1,20,0.9434449599222723,0.9320704749029448,-0.14232104121475053
frr5_conservative_liq100,no_semiconductor,1,20,-0.10758117673544998,-0.022020530897067632,-0.33544389549873654
frr5_capacity_liq200,all,1,20,0.4700354607635735,0.6447686516978182,-0.20932336267160911
frr5_capacity_liq200,electronics,1,20,0.8678673748917798,0.8599368201744176,-0.15547562244896262
frr5_capacity_liq200,non_electronics,1,20,0.06534324187019536,0.22594094439086485,-0.2066725439697168
frr5_capacity_liq200,semiconductor,1,20,0.9434449599222723,0.9320704749029448,-0.14232104121475053
frr5_capacity_liq200,no_semiconductor,1,20,-0.05327549861739356,0.06276845366306683,-0.3000739076119151
