variant,delay_trading_days,holding_days,year,months,total_return,sharpe,mdd
frr1_basic_deleveraging,1,10,2024,10,0.1250745057421656,0.6236667898521965,-0.17052737229277415
frr1_basic_deleveraging,1,10,2025,11,-0.013665155535716234,0.05229708885674662,-0.2203233999059152
frr1_basic_deleveraging,1,15,2024,10,0.07574433864661567,0.4116986192285954,-0.2317526868700882
frr1_basic_deleveraging,1,15,2025,11,0.18714748625647815,0.6015323696792413,-0.27708387516620003
frr1_basic_deleveraging,1,20,2024,10,0.2774821915436805,1.1505339839539739,-0.16310995636633452
frr1_basic_deleveraging,1,20,2025,11,1.0304918658951463,1.5959994170705205,-0.18685019351385246
frr1_basic_deleveraging,2,10,2024,10,0.036245990773001946,0.2799981957626767,-0.21335411919111014
frr1_basic_deleveraging,2,10,2025,11,0.23279850581645678,0.9008507250003907,-0.15131606119846142
frr1_basic_deleveraging,2,15,2024,10,-0.033579893126357785,0.029815403231333568,-0.23303056324125904
frr1_basic_deleveraging,2,15,2025,11,0.2277115593890977,0.6620943802932242,-0.21599449540287607
frr1_basic_deleveraging,2,20,2024,10,0.11392461936333564,0.5331541576287255,-0.21247733150199255
frr1_basic_deleveraging,2,20,2025,11,1.313555703014996,1.7311403527784164,-0.19950742724849369
frr1_basic_deleveraging,3,10,2024,10,0.30305170128877856,1.1750031384290003,-0.10614980447698397
frr1_basic_deleveraging,3,10,2025,11,0.17722595615402703,0.7049947449625656,-0.15181966262456703
frr1_basic_deleveraging,3,15,2024,10,0.04400660923526023,0.3094656658076937,-0.25390804647929754
frr1_basic_deleveraging,3,15,2025,11,0.14722305155737114,0.5330980887798132,-0.18860078263652502
frr1_basic_deleveraging,3,20,2024,10,0.3138075637733566,0.9240192204828686,-0.2225168155560323
frr1_basic_deleveraging,3,20,2025,11,1.1675351954440272,1.8417690431712448,-0.1318340212055844
frr2_no_catch_falling_knife,1,10,2024,10,0.20097459683282914,0.927727544408467,-0.13860237794977892
frr2_no_catch_falling_knife,1,10,2025,11,0.07090253919931855,0.40075862889644565,-0.20134390602484487
frr2_no_catch_falling_knife,1,15,2024,10,-0.12332843317725306,-0.33503357283166213,-0.27131264187399773
frr2_no_catch_falling_knife,1,15,2025,11,0.1482436404634575,0.5172689850746487,-0.27708387516620014
